計測日,計測時間,電力使用量_全体,電力使用量_空調_熱源,電力使用量_空調_空調機,電力使用量_空調_搬送,電力使用量_照明,電力使用量_コンセント,電力使用量_動力,電力使用量_電灯,電力使用量_冷凍・冷熱,電力使用量_その他,発電量_全体,発電量_自家発電,発電量_太陽光,発電量_風力,発電量_バイオマス,発電量_その他,売電量,蓄電量_蓄電池,放電量_蓄電池,エネルギー使用量_ガス_全体,エネルギー使用量_ガス_空調,エネルギー使用量_ガス_自家発電,エネルギー使用量_ガス_コジェネ,エネルギー使用量_ガス_ボイラー,エネルギー使用量_ガス_その他,エネルギー使用量_油_全体,エネルギー使用量_油_空調,エネルギー使用量_油_自家発電,エネルギー使用量_油_コジェネ,エネルギー使用量_油_ボイラー,エネルギー使用量_油_その他,エネルギー使用量_その他
2023/04/01,1,9,3,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,2,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,3,9,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,4,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,5,9,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,6,9,2,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,7,9,5,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,8,9,3,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,9,9,2,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,10,9,3,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,11,10,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,12,11,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,13,11,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,14,11,5,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,15,11,2,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,16,9,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,17,9,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,18,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,19,9,2,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,20,9,4,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,21,9,2,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,22,9,5,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,23,9,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,24,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,25,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,26,9,3,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2023/04/01,27,9,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
